Q Value,Bot1 Result,Bot1 Position,Bot2 Result,Bot2 Position,Bot3 Result,Bot3 Position,Bot4 Result,Bot4 Position,Button Position,Fire Position
0.7,Failure,"(34, 32)",Success,"(34, 32)",Failure,"(34, 32)",Failure,"(34, 32)","(20, 21)","(23, 32)"
0.8,Failure,"(16, 7)",Failure,"(16, 7)",Failure,"(16, 7)",Failure,"(16, 7)","(15, 37)","(30, 26)"
0.8,Failure,"(30, 30)",Failure,"(30, 30)",Failure,"(30, 30)",Failure,"(30, 30)","(32, 22)","(26, 31)"
0.8,Failure,"(38, 23)",Failure,"(38, 23)",Failure,"(38, 23)",Failure,"(38, 23)","(13, 29)","(19, 13)"
0.8,Success,"(2, 22)",Success,"(2, 22)",Success,"(2, 22)",Success,"(2, 22)","(7, 30)","(14, 36)"
0.8,Success,"(1, 4)",Success,"(1, 4)",Success,"(1, 4)",Success,"(1, 4)","(9, 7)","(7, 22)"
0.8,Success,"(34, 35)",Failure,"(34, 35)",Success,"(34, 35)",Success,"(34, 35)","(34, 28)","(11, 33)"
0.8,Success,"(20, 33)",Success,"(20, 33)",Success,"(20, 33)",Success,"(20, 33)","(25, 25)","(36, 29)"
0.8,Success,"(26, 30)",Success,"(26, 30)",Success,"(26, 30)",Success,"(26, 30)","(23, 8)","(21, 32)"
0.8,Failure,"(2, 13)",Failure,"(2, 13)",Failure,"(2, 13)",Failure,"(2, 13)","(34, 23)","(36, 6)"
0.8,Success,"(29, 15)",Success,"(29, 15)",Success,"(29, 15)",Success,"(29, 15)","(8, 25)","(26, 19)"
0.8,Success,"(7, 28)",Success,"(7, 28)",Success,"(7, 28)",Success,"(7, 28)","(3, 8)","(1, 17)"
0.8,Failure,"(34, 5)",Failure,"(34, 5)",Failure,"(34, 5)",Failure,"(34, 5)","(31, 24)","(34, 8)"
0.8,Failure,"(37, 7)",Failure,"(37, 7)",Failure,"(37, 7)",Failure,"(37, 7)","(9, 30)","(28, 27)"
0.8,Success,"(31, 14)",Success,"(31, 14)",Success,"(31, 14)",Success,"(31, 14)","(24, 37)","(2, 2)"
0.8,Success,"(36, 15)",Success,"(36, 15)",Success,"(36, 15)",Success,"(36, 15)","(10, 25)","(37, 9)"
0.8,Failure,"(32, 1)",Failure,"(32, 1)",Failure,"(32, 1)",Failure,"(32, 1)","(7, 8)","(36, 23)"
0.8,Success,"(9, 20)",Success,"(9, 20)",Success,"(9, 20)",Success,"(9, 20)","(21, 35)","(14, 15)"
0.8,Success,"(35, 23)",Success,"(35, 23)",Success,"(35, 23)",Success,"(35, 23)","(30, 32)","(35, 2)"
0.8,Success,"(35, 33)",Success,"(35, 33)",Success,"(35, 33)",Success,"(35, 33)","(28, 31)","(16, 20)"
0.8,Success,"(27, 5)",Success,"(27, 5)",Success,"(27, 5)",Success,"(27, 5)","(36, 13)","(6, 5)"
0.9,Success,"(4, 7)",Success,"(4, 7)",Success,"(4, 7)",Success,"(4, 7)","(27, 7)","(8, 30)"
0.9,Failure,"(4, 2)",Failure,"(4, 2)",Failure,"(4, 2)",Failure,"(4, 2)","(19, 30)","(14, 11)"
0.9,Success,"(17, 9)",Success,"(17, 9)",Success,"(17, 9)",Success,"(17, 9)","(4, 14)","(37, 9)"
0.9,Failure,"(1, 18)",Failure,"(1, 18)",Failure,"(1, 18)",Failure,"(1, 18)","(10, 2)","(3, 1)"
0.9,Success,"(21, 10)",Success,"(21, 10)",Success,"(21, 10)",Success,"(21, 10)","(30, 22)","(19, 29)"
0.9,Success,"(31, 14)",Success,"(31, 14)",Success,"(31, 14)",Success,"(31, 14)","(18, 12)","(33, 32)"
0.9,Success,"(27, 5)",Success,"(27, 5)",Success,"(27, 5)",Success,"(27, 5)","(21, 30)","(4, 1)"
0.9,Failure,"(15, 10)",Failure,"(15, 10)",Failure,"(15, 10)",Failure,"(15, 10)","(2, 34)","(18, 17)"
0.9,Success,"(5, 10)",Success,"(5, 10)",Success,"(5, 10)",Success,"(5, 10)","(17, 32)","(25, 20)"
0.9,Failure,"(35, 34)",Failure,"(35, 34)",Failure,"(35, 34)",Failure,"(35, 34)","(2, 20)","(31, 32)"
0.9,Success,"(36, 10)",Success,"(36, 10)",Success,"(36, 10)",Success,"(36, 10)","(28, 33)","(29, 11)"
0.9,Success,"(24, 27)",Success,"(24, 27)",Failure,"(24, 27)",Success,"(24, 27)","(14, 36)","(17, 13)"
0.9,Failure,"(9, 23)",Failure,"(9, 23)",Failure,"(9, 23)",Failure,"(9, 23)","(18, 13)","(24, 9)"
0.9,Failure,"(1, 31)",Failure,"(1, 31)",Failure,"(1, 31)",Failure,"(1, 31)","(33, 38)","(35, 32)"
0.9,Failure,"(19, 4)",Failure,"(19, 4)",Failure,"(19, 4)",Failure,"(19, 4)","(27, 1)","(36, 3)"
0.9,Failure,"(18, 8)",Failure,"(18, 8)",Failure,"(18, 8)",Failure,"(18, 8)","(7, 32)","(37, 11)"
0.9,Failure,"(36, 25)",Failure,"(36, 25)",Failure,"(36, 25)",Failure,"(36, 25)","(4, 12)","(36, 16)"
0.9,Failure,"(26, 2)",Failure,"(26, 2)",Failure,"(26, 2)",Failure,"(26, 2)","(26, 27)","(28, 10)"
0.9,Success,"(38, 13)",Success,"(38, 13)",Success,"(38, 13)",Success,"(38, 13)","(24, 17)","(38, 36)"
0.9,Failure,"(26, 5)",Failure,"(26, 5)",Failure,"(26, 5)",Success,"(26, 5)","(26, 17)","(2, 16)"
0.1,Success,"(34, 30)",Success,"(34, 30)",Success,"(34, 30)",Success,"(34, 30)","(26, 3)","(3, 5)"
0.1,Success,"(9, 12)",Success,"(9, 12)",Success,"(9, 12)",Success,"(9, 12)","(5, 16)","(7, 6)"
0.1,Success,"(11, 10)",Success,"(11, 10)",Failure,"(11, 10)",Success,"(11, 10)","(5, 21)","(12, 19)"
